"Website","URL","Contact Info"
"Eurogamer.net","http://www.eurogamer.net/","contact@eurogamer.net"
"Indie Game Magazine","http://indiegamemag.com/","Various"
"Indie Games","http://indiegames.com","editors@indiegames.com"
"Indie Love","http://indie-love.com/","http://indie-love.com/contact-us/"
"Kotaku","http://kotaku.com/","tips@kotaku.com"
"Rock Paper Shotgun","http://www.rockpapershotgun.com/","contact@rockpapershotgun.com"
"Screenshot Daily","http://screenshotdaily.com/","screenshotdaily@gmail.com"
"Siliconera","http://www.siliconera.com/","siliconera@gmail.com"
"VGNaut","http://www.vgnaut.com/","press@vgnaut.com"
"Wraithkal's Indie Gaming Corner","http://wraithkal.info/","wraithkal@wraithkal.info"
